matrix_name,dim,nnz,matrix_type,data_type,matrix_layout,square
kron_g500-logn20.mtx,1048576,44620272,coordinate,integer,symmetric,1
Long_Coup_dt6.mtx,1470152,44279572,coordinate,real,symmetric,1
Long_Coup_dt0.mtx,1470152,44279572,coordinate,real,symmetric,1
channel-500x100x100-b050.mtx,4802000,42681372,coordinate,pattern,symmetric,1
wikipedia-20061104.mtx,3148440,39383235,coordinate,pattern,general,1
audikw_1.mtx,943695,39297771,coordinate,real,symmetric,1
relat9.mtx,549336,38955420,coordinate,integer,general,0
RM07R.mtx,381689,37464962,coordinate,real,general,1
GL7d19.mtx,1955309,37322725,coordinate,integer,general,0
wikipedia-20060925.mtx,2983494,37269096,coordinate,pattern,general,1
bone010.mtx,986703,36326514,coordinate,real,symmetric,1
GL7d18.mtx,1548650,35590540,coordinate,integer,general,0
Serena.mtx,1391349,32961525,coordinate,real,symmetric,1
Geo_1438.mtx,1437960,32297325,coordinate,real,symmetric,1
hugebubbles-00020.mtx,21198119,31790179,coordinate,pattern,symmetric,1
Hook_1498.mtx,1498023,31207734,coordinate,real,symmetric,1
rgg_n_2_22_s0.mtx,4194304,30359198,coordinate,pattern,symmetric,1
GL7d20.mtx,1911130,29893084,coordinate,integer,general,0
hugebubbles-00010.mtx,19458087,29179764,coordinate,pattern,symmetric,1
road_usa.mtx,23947347,28854312,coordinate,pattern,symmetric,1
boneS10.mtx,914898,28191660,coordinate,real,symmetric,1
ML_Laplace.mtx,377002,27689972,coordinate,real,general,1
hugebubbles-00000.mtx,18318143,27470081,coordinate,pattern,symmetric,1
cage14.mtx,1505785,27130349,coordinate,real,general,1
af_shell10.mtx,1508065,27090195,coordinate,real,symmetric,1
FullChip.mtx,2987012,26621990,coordinate,real,general,1
GL7d17.mtx,955128,25978098,coordinate,integer,general,0
delaunay_n23.mtx,8388608,25165784,coordinate,pattern,symmetric,1
dielFilterV2real.mtx,1157456,24848204,coordinate,real,symmetric,1
hugetrace-00020.mtx,16002413,23998813,coordinate,pattern,symmetric,1
ldoor.mtx,952203,23737339,coordinate,real,symmetric,1
rel9.mtx,274669,23667183,coordinate,integer,general,0
Transport.mtx,1602111,23500731,coordinate,real,general,1
12month1.mtx,872622,22624727,coordinate,pattern,general,0
CoupCons3D.mtx,416800,22322336,coordinate,real,general,1
kron_g500-logn19.mtx,524288,21781478,coordinate,integer,symmetric,1
Emilia_923.mtx,923136,20964171,coordinate,real,symmetric,1
rajat31.mtx,4690002,20316253,coordinate,real,general,1
fem_hifreq_circuit.mtx,491100,20239237,coordinate,complex,general,1
wikipedia-20051105.mtx,1634989,19753078,coordinate,pattern,general,1
eu-2005.mtx,862664,19235140,coordinate,pattern,general,1
circuit5M_dc.mtx,3523317,19194193,coordinate,real,general,1
Freescale1.mtx,3428755,18920347,coordinate,real,general,1
inline_1.mtx,503712,18660027,coordinate,real,symmetric,1
GL7d21.mtx,1437547,18174775,coordinate,integer,general,0
hugetrace-00010.mtx,12057441,18082179,coordinate,pattern,symmetric,1
packing-500x100x100-b050.mtx,2145852,17488243,coordinate,pattern,symmetric,1
3Dspectralwave.mtx,680943,17165766,coordinate,complex,Hermitian,1
road_central.mtx,14081816,16933413,coordinate,pattern,symmetric,1
in-2004.mtx,1382908,16917053,coordinate,pattern,general,1
dielFilterV3clx.mtx,420408,16653308,coordinate,complex,symmetric,1
cit-Patents.mtx,3774768,16518948,coordinate,pattern,general,1
TSOPF_RS_b2383.mtx,38120,16171169,coordinate,real,general,1
TSOPF_RS_b2383_c1.mtx,38120,16171169,coordinate,real,general,1
coPapersCiteseer.mtx,434102,16036720,coordinate,pattern,symmetric,1
coPapersDBLP.mtx,540486,15245729,coordinate,pattern,symmetric,1
patents.mtx,3774768,14970767,coordinate,pattern,general,1
nlpkkt80.mtx,1062400,14883536,coordinate,real,symmetric,1
memchip.mtx,2707524,14810202,coordinate,real,general,1
Fault_639.mtx,638802,14626683,coordinate,real,symmetric,1
mouse_gene.mtx,45101,14506196,coordinate,real,symmetric,1
GL7d16.mtx,460261,14488881,coordinate,integer,general,0
rgg_n_2_21_s0.mtx,2097152,14487995,coordinate,pattern,symmetric,1
CurlCurl_4.mtx,2380515,14448191,coordinate,real,symmetric,1
nd24k.mtx,72000,14393817,coordinate,real,symmetric,1
adaptive.mtx,6815744,13624320,coordinate,pattern,symmetric,1
F1.mtx,343791,13590452,coordinate,real,symmetric,1
dielFilterV2clx.mtx,607232,12958252,coordinate,complex,symmetric,1
asia_osm.mtx,11950757,12711603,coordinate,pattern,symmetric,1
delaunay_n22.mtx,4194304,12582869,coordinate,pattern,symmetric,1
NLR.mtx,4163763,12487976,coordinate,pattern,symmetric,1
bone010_M.mtx,986703,12437739,coordinate,real,symmetric,1
germany_osm.mtx,11548845,12369181,coordinate,pattern,symmetric,1
human_gene1.mtx,22283,12345963,coordinate,real,symmetric,1
tp-6.mtx,1014301,11537419,coordinate,real,general,0
AS365.mtx,3799275,11368076,coordinate,pattern,symmetric,1
kim2.mtx,456976,11330020,coordinate,complex,general,1
rail4284.mtx,1096894,11284032,coordinate,integer,general,0
StocF-1465.mtx,1465137,11235263,coordinate,real,symmetric,1
gsm_106857.mtx,589446,11174185,coordinate,real,symmetric,1
333SP.mtx,3712815,11108633,coordinate,pattern,symmetric,1
as-Skitter.mtx,1696415,11095298,coordinate,pattern,symmetric,1
ohne2.mtx,181343,11063545,coordinate,real,general,1
hugetric-00020.mtx,7122792,10680777,coordinate,pattern,symmetric,1
kron_g500-logn18.mtx,262144,10583222,coordinate,integer,symmetric,1
M6.mtx,3501776,10501936,coordinate,pattern,symmetric,1
msdoor.mtx,415863,10328399,coordinate,real,symmetric,1
atmosmodl.mtx,1489752,10319760,coordinate,real,general,1
atmosmodm.mtx,1489752,10319760,coordinate,integer,general,1
hugetric-00010.mtx,6592765,9885854,coordinate,pattern,symmetric,1
flickr.mtx,820878,9837214,coordinate,pattern,general,1
boneS10_M.mtx,914898,9702186,coordinate,real,symmetric,1
Ga41As41H72.mtx,268096,9378286,coordinate,real,symmetric,1
af_shell2.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell8.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell5.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell3.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell1.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell4.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell6.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell7.mtx,504855,9046865,coordinate,real,symmetric,1
af_shell9.mtx,504855,9046865,coordinate,real,symmetric,1
human_gene2.mtx,14340,9041364,coordinate,real,symmetric,1
af_3_k101.mtx,503625,9027150,coordinate,real,symmetric,1
af_4_k101.mtx,503625,9027150,coordinate,real,symmetric,1
af_2_k101.mtx,503625,9027150,coordinate,real,symmetric,1
af_5_k101.mtx,503625,9027150,coordinate,real,symmetric,1
af_1_k101.mtx,503625,9027150,coordinate,real,symmetric,1
af_0_k101.mtx,503625,9027150,coordinate,real,symmetric,1
bibd_22_8.mtx,319770,8953560,coordinate,pattern,general,0
atmosmodd.mtx,1270432,8814880,coordinate,real,general,1
atmosmodj.mtx,1270432,8814880,coordinate,real,general,1
TSOPF_RS_b678_c2.mtx,35696,8781949,coordinate,real,general,1
hugetric-00000.mtx,5824554,8733523,coordinate,pattern,symmetric,1
torso1.mtx,116158,8516500,coordinate,real,general,1
bibd_20_10.mtx,184756,8314020,coordinate,pattern,general,0
GL7d22.mtx,822922,8251000,coordinate,integer,general,0
PR02R.mtx,161070,8185136,coordinate,real,general,1
great-britain_osm.mtx,7733822,8156517,coordinate,pattern,symmetric,1
kkt_power.mtx,2063494,8130343,coordinate,real,symmetric,1
degme.mtx,659415,8127528,coordinate,real,general,0
venturiLevel3.mtx,4026819,8054237,coordinate,pattern,symmetric,1
rail2586.mtx,923269,8011362,coordinate,integer,general,0
Rucci1.mtx,109900,7791168,coordinate,real,general,0
web-BerkStan.mtx,685230,7600595,coordinate,pattern,general,1
Si41Ge41H72.mtx,185639,7598452,coordinate,real,symmetric,1
Stanford_Berkeley.mtx,683446,7583376,coordinate,pattern,general,1
pkustk14.mtx,151926,7494215,coordinate,pattern,symmetric,1
cage13.mtx,445315,7479343,coordinate,real,general,1
CurlCurl_3.mtx,1219574,7382096,coordinate,real,symmetric,1
3Dspectralwave2.mtx,292008,7307376,coordinate,complex,Hermitian,1
nd12k.mtx,36000,7128473,coordinate,real,symmetric,1
crankseg_2.mtx,63838,7106348,coordinate,real,symmetric,1
cont1_l.mtx,1921596,7031999,coordinate,real,general,0
italy_osm.mtx,6686493,7013978,coordinate,pattern,symmetric,1
rgg_n_2_20_s0.mtx,1048576,6891620,coordinate,pattern,symmetric,1
hugetrace-00000.mtx,4588484,6879133,coordinate,pattern,symmetric,1
sls.mtx,62729,6804304,coordinate,real,general,0
TSOPF_RS_b2052_c1.mtx,25626,6761100,coordinate,real,general,1
BenElechi1.mtx,245874,6698185,coordinate,real,symmetric,1
TSOPF_FS_b300_c3.mtx,84414,6578753,coordinate,real,symmetric,1
Chevron4.mtx,711450,6376412,coordinate,complex,general,1
halfb.mtx,224617,6306219,coordinate,pattern,symmetric,1
delaunay_n21.mtx,2097152,6291408,coordinate,pattern,symmetric,1
rajat30.mtx,643994,6175377,coordinate,real,general,1
troll.mtx,213453,6099282,coordinate,pattern,symmetric,1
GL7d15.mtx,171375,6080381,coordinate,integer,general,0
ESOC.mtx,37830,6019939,coordinate,real,general,0
pre2.mtx,659033,5959282,coordinate,real,general,1
fullb.mtx,199187,5953632,coordinate,pattern,symmetric,1
pwtk.mtx,217918,5926171,coordinate,real,symmetric,1
bmw3_2.mtx,227362,5757996,coordinate,real,symmetric,1
fcondp2.mtx,201822,5748069,coordinate,pattern,symmetric,1
SiO2.mtx,155331,5719417,coordinate,real,symmetric,1
largebasis.mtx,440020,5560100,coordinate,real,general,1
Hamrle3.mtx,1447360,5514242,coordinate,real,general,1
hood.mtx,220542,5494489,coordinate,real,symmetric,1
Si87H76.mtx,240369,5451000,coordinate,real,symmetric,1
para-9.mtx,155924,5416358,coordinate,real,general,1
para-6.mtx,155924,5416358,coordinate,real,general,1
para-10.mtx,155924,5416358,coordinate,real,general,1
para-7.mtx,155924,5416358,coordinate,real,general,1
para-5.mtx,155924,5416358,coordinate,real,general,1
para-8.mtx,155924,5416358,coordinate,real,general,1
bmwcra_1.mtx,148770,5396386,coordinate,real,symmetric,1
cont11_l.mtx,1961394,5382999,coordinate,real,general,0
Chebyshev4.mtx,68121,5377761,coordinate,real,general,1
crankseg_1.mtx,52804,5333507,coordinate,real,symmetric,1
para-4.mtx,153226,5326228,coordinate,real,general,1
mip1.mtx,66463,5209641,coordinate,pattern,symmetric,1
amazon-2008.mtx,735323,5158388,coordinate,pattern,general,1
shipsec5.mtx,179860,5146478,coordinate,real,symmetric,1
x104.mtx,108384,5138004,coordinate,real,symmetric,1
kron_g500-logn17.mtx,131072,5114375,coordinate,integer,symmetric,1
web-Google.mtx,916428,5105039,coordinate,pattern,general,1
mono_500Hz.mtx,169410,5036288,coordinate,complex,general,1
wiki-Talk.mtx,2394385,5021410,coordinate,pattern,general,1
LargeRegFile.mtx,801374,4944201,coordinate,real,general,0
m_t1.mtx,97578,4925574,coordinate,real,symmetric,1
thermal2.mtx,1228045,4904179,coordinate,real,symmetric,1
rajat29.mtx,643994,4866270,coordinate,real,general,1
CurlCurl_2.mtx,806529,4864159,coordinate,real,symmetric,1
pattern1.mtx,19242,4671337,coordinate,pattern,symmetric,1
gupta3.mtx,16783,4670105,coordinate,pattern,symmetric,1
G3_circuit.mtx,1585478,4623152,coordinate,real,symmetric,1
gearbox.mtx,153746,4617075,coordinate,pattern,symmetric,1
t2em.mtx,921632,4590832,coordinate,integer,general,1
tmt_unsym.mtx,917825,4584801,coordinate,real,general,1
Ga19As19H42.mtx,133123,4508981,coordinate,real,symmetric,1
torso3.mtx,259156,4429042,coordinate,real,general,1
TSOPF_RS_b300_c3.mtx,42138,4413449,coordinate,real,general,1
TSOPF_RS_b678_c1.mtx,18696,4396289,coordinate,real,general,1
TSOPF_FS_b300_c2.mtx,56814,4391071,coordinate,real,symmetric,1
TF19.mtx,317955,4370721,coordinate,integer,general,0
Ge99H100.mtx,112985,4282190,coordinate,real,symmetric,1
ship_003.mtx,121728,4103881,coordinate,real,symmetric,1
Ge87H76.mtx,112985,4002590,coordinate,real,symmetric,1
shipsec1.mtx,140874,3977139,coordinate,real,symmetric,1
CO.mtx,221119,3943588,coordinate,real,symmetric,1
barrier2-12.mtx,115625,3897557,coordinate,real,general,1
barrier2-10.mtx,115625,3897557,coordinate,real,general,1
barrier2-9.mtx,115625,3897557,coordinate,real,general,1
barrier2-11.mtx,115625,3897557,coordinate,real,general,1
ASIC_680k.mtx,682862,3871773,coordinate,real,general,1
xenon2.mtx,157464,3866688,coordinate,real,general,1
laminar_duct3D.mtx,67173,3833077,coordinate,real,general,1
barrier2-2.mtx,113076,3805068,coordinate,real,general,1
barrier2-4.mtx,113076,3805068,coordinate,real,general,1
barrier2-3.mtx,113076,3805068,coordinate,real,general,1
barrier2-1.mtx,113076,3805068,coordinate,real,general,1
pkustk12.mtx,94653,3803485,coordinate,pattern,symmetric,1
IMDB.mtx,896308,3782463,coordinate,pattern,general,0
bmw7st_1.mtx,141347,3740507,coordinate,real,symmetric,1
FEM_3D_thermal2.mtx,147900,3489300,coordinate,real,general,1
stormG2_1000.mtx,1377306,3459881,coordinate,real,general,0
nd6k.mtx,18000,3457658,coordinate,real,symmetric,1
boneS01.mtx,127224,3421188,coordinate,real,symmetric,1
Chevron3.mtx,381381,3413113,coordinate,complex,general,1
amazon0601.mtx,403394,3387388,coordinate,pattern,general,1
ch8-8-b5.mtx,376320,3386880,coordinate,integer,general,0
shipsec8.mtx,114919,3384159,coordinate,real,symmetric,1
amazon0505.mtx,410236,3356824,coordinate,pattern,general,1
pkustk13.mtx,94893,3355860,coordinate,pattern,symmetric,1
bibd_19_9.mtx,92378,3325608,coordinate,pattern,general,0
stat96v3.mtx,1113780,3317736,coordinate,real,general,0
auto.mtx,448695,3314611,coordinate,pattern,symmetric,1
rgg_n_2_19_s0.mtx,524288,3269766,coordinate,pattern,symmetric,1
cnr-2000.mtx,325557,3216152,coordinate,pattern,general,1
amazon0312.mtx,400727,3200440,coordinate,pattern,general,1
sme3Dc.mtx,42930,3148656,coordinate,real,general,1
delaunay_n20.mtx,1048576,3145686,coordinate,pattern,symmetric,1
NACA0015.mtx,1039183,3114818,coordinate,pattern,symmetric,1
Ga10As10H30.mtx,113081,3114357,coordinate,real,symmetric,1
webbase-1M.mtx,1000005,3105536,coordinate,real,general,1
consph.mtx,83334,3046907,coordinate,real,symmetric,1
stomach.mtx,213360,3021648,coordinate,real,general,1
Ga3As3H12.mtx,61349,3016148,coordinate,real,symmetric,1
ecology1.mtx,1000000,2998000,coordinate,real,symmetric,1
ecology2.mtx,999999,2997995,coordinate,real,symmetric,1
TSOPF_RS_b300_c2.mtx,28338,2943887,coordinate,real,general,1
tmt_sym.mtx,726713,2903837,coordinate,real,symmetric,1
Trec14.mtx,15905,2872265,coordinate,integer,general,0
stat96v2.mtx,957432,2852184,coordinate,real,general,0
thermomech_dK.mtx,204316,2846228,coordinate,real,general,1
roadNet-CA.mtx,1971281,2766607,coordinate,pattern,symmetric,1
apache2.mtx,715176,2766523,coordinate,real,symmetric,1
GL7d23.mtx,349443,2695430,coordinate,integer,general,0
F2.mtx,71505,2682895,coordinate,real,symmetric,1
matrix-new_3.mtx,125329,2678750,coordinate,real,general,1
pkustk11.mtx,87804,2652858,coordinate,pattern,symmetric,1
ASIC_320k.mtx,321821,2635364,coordinate,real,general,1
Si34H36.mtx,97569,2626974,coordinate,real,symmetric,1
ch7-9-b5.mtx,317520,2540160,coordinate,integer,general,0
c8_mat11_I.mtx,5761,2462970,coordinate,integer,general,0
c8_mat11.mtx,5761,2462970,coordinate,integer,general,0
kron_g500-logn16.mtx,65536,2456398,coordinate,integer,symmetric,1
s3dkq4m2.mtx,90449,2455670,coordinate,real,symmetric,1
netherlands_osm.mtx,2216688,2441238,coordinate,pattern,symmetric,1
engine.mtx,143571,2424822,coordinate,integer,symmetric,1
poisson3Db.mtx,85623,2374949,coordinate,real,general,1
rma10.mtx,46835,2374001,coordinate,real,general,1
ship_001.mtx,34920,2339575,coordinate,real,symmetric,1
ASIC_680ks.mtx,682712,2329176,coordinate,real,general,1
Stanford.mtx,281903,2312497,coordinate,pattern,general,1
web-Stanford.mtx,281903,2312497,coordinate,pattern,general,1
offshore.mtx,259789,2251231,coordinate,real,symmetric,1
thread.mtx,29736,2249892,coordinate,real,symmetric,1
tx2010.mtx,914231,2228136,coordinate,integer,symmetric,1
t3dh_e.mtx,79171,2215638,coordinate,real,symmetric,1
t3dh_a.mtx,79171,2215638,coordinate,real,symmetric,1
t3dh_E.mtx,79171,2215638,coordinate,real,symmetric,1
t3dh.mtx,79171,2215638,coordinate,real,symmetric,1
TSOPF_FS_b300_c1.mtx,29214,2203949,coordinate,real,symmetric,1
TSOPF_FS_b300.mtx,29214,2203949,coordinate,real,symmetric,1
pkustk10.mtx,80676,2194830,coordinate,pattern,symmetric,1
pdb1HYS.mtx,36417,2190591,coordinate,real,symmetric,1
wheel_601.mtx,723605,2170814,coordinate,pattern,general,0
gupta2.mtx,62064,2155175,coordinate,pattern,symmetric,1
pkustk04.mtx,55590,2137125,coordinate,pattern,symmetric,1
matrix_9.mtx,103430,2121550,coordinate,real,general,1
mc2depi.mtx,525825,2100225,coordinate,integer,general,1
parabolic_fem.mtx,525825,2100225,coordinate,real,symmetric,1
debr_G_18.mtx,1048576,2097149,coordinate,pattern,symmetric,1
debr.mtx,1048576,2097149,coordinate,pattern,symmetric,1
sme3Db.mtx,29067,2081063,coordinate,real,general,1
neos3.mtx,518832,2055024,coordinate,integer,general,0
water_tank.mtx,60740,2035281,coordinate,real,general,1
cant.mtx,62451,2034917,coordinate,real,symmetric,1
cage12.mtx,130228,2032536,coordinate,real,general,1
vsp_bcsstk30_500sep_10in_1Kout.mtx,58348,2016578,coordinate,pattern,symmetric,1
mixtank_new.mtx,29957,1995041,coordinate,real,general,1
rajat24.mtx,358172,1948235,coordinate,real,general,1
s3dkt3m2.mtx,90449,1921955,coordinate,real,symmetric,1
s4dkt3m2.mtx,90449,1921955,coordinate,pattern,symmetric,1
roadNet-TX.mtx,1393383,1921660,coordinate,pattern,symmetric,1
conf5_4-8x8-15.mtx,49152,1916928,coordinate,complex,general,1
conf5_4-8x8-10.mtx,49152,1916928,coordinate,complex,general,1
conf5_4-8x8-20.mtx,49152,1916928,coordinate,complex,general,1
conf5_4-8x8-05.mtx,49152,1916928,coordinate,complex,general,1
conf6_0-8x8-20.mtx,49152,1916928,coordinate,complex,general,1
conf6_0-8x8-30.mtx,49152,1916928,coordinate,complex,general,1
conf6_0-8x8-80.mtx,49152,1916928,coordinate,complex,general,1
Zd_Jac3.mtx,22835,1916152,coordinate,real,general,1
rajat21.mtx,411676,1893370,coordinate,real,general,1
Dubcova3.mtx,146689,1891669,coordinate,real,symmetric,1
smt.mtx,25710,1889447,coordinate,real,symmetric,1
ch8-8-b4.mtx,117600,1881600,coordinate,integer,general,0
n4c6-b9.mtx,198895,1865580,coordinate,integer,general,0
appu.mtx,14000,1853104,coordinate,real,general,1
watson_2.mtx,677224,1846391,coordinate,real,general,0
oilpan.mtx,73752,1835470,coordinate,real,symmetric,1
GL7d14.mtx,47271,1831183,coordinate,integer,general,0
ASIC_320ks.mtx,321671,1827807,coordinate,real,general,1
invextr1_new.mtx,30412,1793881,coordinate,real,general,1
IG5-18.mtx,41550,1790490,coordinate,integer,general,0
n4c6-b8.mtx,163215,1790055,coordinate,integer,general,0
bbmat.mtx,38744,1771722,coordinate,real,general,1
karted.mtx,133115,1770349,coordinate,real,general,0
crashbasis.mtx,160000,1750416,coordinate,real,general,1
majorbasis.mtx,160000,1750416,coordinate,real,general,1
bibd_18_9.mtx,48620,1750320,coordinate,pattern,general,0
ca2010.mtx,710145,1744683,coordinate,integer,symmetric,1
fem_filter.mtx,74062,1731206,coordinate,complex,general,1
GaAsH6.mtx,61349,1721579,coordinate,real,symmetric,1
venkat01.mtx,62424,1717792,coordinate,real,general,1
venkat25.mtx,62424,1717792,coordinate,real,general,1
venkat50.mtx,62424,1717792,coordinate,real,general,1
Zd_Jac6.mtx,22835,1711983,coordinate,real,general,1
av41092.mtx,41092,1683902,coordinate,real,general,1
ns3Da.mtx,20414,1679599,coordinate,real,general,1
m14b.mtx,214765,1679018,coordinate,pattern,symmetric,1
nd3k.mtx,9000,1644345,coordinate,real,symmetric,1
Zd_Jac2.mtx,22835,1642833,coordinate,real,general,1
3dtube.mtx,45330,1629474,coordinate,pattern,symmetric,1
pkustk08.mtx,22209,1624440,coordinate,pattern,symmetric,1
cfd2.mtx,123440,1605669,coordinate,real,symmetric,1
TF18.mtx,123867,1597545,coordinate,integer,general,0
pkustk03.mtx,63336,1596876,coordinate,pattern,symmetric,1
ch7-9-b4.mtx,105840,1587600,coordinate,integer,general,0
net150.mtx,43520,1582360,coordinate,pattern,symmetric,1
TSOPF_FS_b39_c30.mtx,120216,1575639,coordinate,real,symmetric,1
delaunay_n19.mtx,524288,1572823,coordinate,pattern,symmetric,1
lp_nug30.mtx,379350,1567800,coordinate,integer,general,0
helm2d03.mtx,392257,1567096,coordinate,real,symmetric,1
belgium_osm.mtx,1441295,1549970,coordinate,pattern,symmetric,1
rgg_n_2_18_s0.mtx,262144,1547283,coordinate,pattern,symmetric,1
roadNet-PA.mtx,1090920,1541898,coordinate,pattern,symmetric,1
ins2.mtx,309412,1530448,coordinate,pattern,symmetric,1
lhr71.mtx,70304,1528092,coordinate,real,general,1
lhr71c.mtx,70304,1528092,coordinate,real,general,1
neos.mtx,515905,1526794,coordinate,real,general,0
srb1.mtx,54924,1508538,coordinate,pattern,symmetric,1
EternityII_E.mtx,262144,1503732,coordinate,integer,general,0
web-NotreDame.mtx,325729,1497134,coordinate,pattern,general,1
raefsky3.mtx,21200,1488768,coordinate,real,general,1
TSOPF_RS_b300_c1.mtx,14538,1474325,coordinate,real,general,1
NotreDame_actors.mtx,127823,1470404,coordinate,pattern,general,0
n4c6-b10.mtx,186558,1456422,coordinate,integer,general,0
std1_Jac3.mtx,21982,1455848,coordinate,real,general,1
ramage02.mtx,16830,1441591,coordinate,pattern,symmetric,1
vfem.mtx,93476,1434636,coordinate,complex,general,1
lp_osa_60.mtx,243246,1408073,coordinate,real,general,0
filter3D.mtx,106437,1406808,coordinate,real,symmetric,1
filter3D_E.mtx,106437,1406791,coordinate,real,symmetric,1
heart1.mtx,3557,1387773,coordinate,real,general,1
pct20stif.mtx,52329,1375396,coordinate,pattern,symmetric,1
ct20stif.mtx,52329,1375396,coordinate,real,symmetric,1
nasasrb.mtx,54870,1366097,coordinate,real,symmetric,1
cop20k_A.mtx,121192,1362087,coordinate,real,symmetric,1
li.mtx,22695,1350309,coordinate,real,general,1
CurlCurl_1.mtx,226451,1349261,coordinate,real,symmetric,1
hvdc2.mtx,189860,1347273,coordinate,real,general,1
c-big.mtx,345241,1343126,coordinate,real,symmetric,1
relat8.mtx,12347,1334038,coordinate,integer,general,0
Maragal_8.mtx,75077,1308415,coordinate,real,general,0
pkustk06.mtx,43164,1307466,coordinate,pattern,symmetric,1
net125.mtx,36720,1306960,coordinate,pattern,symmetric,1
n4c6-b7.mtx,104115,1305720,coordinate,integer,general,0
Raj1.mtx,263743,1302464,coordinate,real,general,1
mac_econ_fwd500.mtx,206500,1273389,coordinate,real,general,1
net4-1.mtx,88343,1265035,coordinate,pattern,symmetric,1
std1_Jac2.mtx,21982,1248731,coordinate,real,general,1
tsyl201.mtx,20685,1237821,coordinate,pattern,symmetric,1
amazon0302.mtx,262111,1234877,coordinate,pattern,general,1
twotone.mtx,120750,1224224,coordinate,real,general,1
vsp_msc10848_300sep_100in_1Kout.mtx,21996,1221028,coordinate,pattern,symmetric,1
pkustk07.mtx,16860,1217832,coordinate,pattern,symmetric,1
language.mtx,399130,1216334,coordinate,real,general,1
TSOPF_FS_b162_c4.mtx,40798,1204322,coordinate,real,symmetric,1
Maragal_7.mtx,26564,1200537,coordinate,real,general,0
vanbody.mtx,47072,1191985,coordinate,real,symmetric,1
boneS01_M.mtx,127224,1182804,coordinate,real,symmetric,1
xenon1.mtx,48600,1181120,coordinate,real,general,1
fl2010.mtx,484481,1173147,coordinate,integer,symmetric,1
EternityII_Etilde.mtx,204304,1170516,coordinate,integer,general,0
darcy003.mtx,389874,1167685,coordinate,real,symmetric,1
mario002.mtx,389874,1167685,coordinate,real,symmetric,1
viscorocks.mtx,37762,1162244,coordinate,real,general,1
dbir2.mtx,45877,1158159,coordinate,integer,general,0
citationCiteseer.mtx,268495,1156647,coordinate,pattern,symmetric,1
landmark.mtx,2704,1151232,coordinate,real,general,0
H2O.mtx,67024,1141880,coordinate,real,symmetric,1
exdata_1.mtx,6001,1137751,coordinate,real,symmetric,1
spiral_E.mtx,1434,1137732,coordinate,real,general,1
connectus.mtx,394792,1127525,coordinate,pattern,general,0
pkustk05.mtx,37164,1121154,coordinate,pattern,symmetric,1
gupta1.mtx,31802,1098006,coordinate,pattern,symmetric,1
ex11.mtx,16614,1096948,coordinate,real,general,1
pds-100.mtx,514577,1096002,coordinate,integer,general,0
lp1.mtx,534388,1088904,coordinate,pattern,symmetric,1
il2010.mtx,451554,1082232,coordinate,integer,symmetric,1
dbic1.mtx,226317,1081843,coordinate,integer,general,0
TSOPF_RS_b39_c30.mtx,60098,1079986,coordinate,real,general,1
