matrix_name,dim,nnz,data_type,matrix_layout,density,sparsity
west0132.mtx,132,414,real,general,0.02380,0.97620
bcsstm04.mtx,132,132,real,symmetric,0.00760,0.99240
rajat11.mtx,135,812,real,general,0.04460,0.95540
rw136.mtx,136,479,real,general,0.02590,0.97410
impcol_c.mtx,137,411,real,general,0.02190,0.97810
bcsstk22.mtx,138,417,real,symmetric,0.02190,0.97810
bcsstm22.mtx,138,138,real,symmetric,0.00720,0.99280
lund_a.mtx,147,1298,real,symmetric,0.06010,0.93990
lund_b.mtx,147,1294,real,symmetric,0.05990,0.94010
cz148.mtx,148,1527,real,general,0.06970,0.93030
Trefethen_150.mtx,150,1095,integer,symmetric,0.04870,0.95130
bcsstk05.mtx,153,1288,real,symmetric,0.05500,0.94500
bcsstm05.mtx,153,153,real,symmetric,0.00650,0.99350
west0156.mtx,156,371,real,general,0.01520,0.98480
lop163.mtx,163,935,real,general,0.03520,0.96480
west0167.mtx,167,507,real,general,0.01820,0.98180
mcca.mtx,180,2659,real,general,0.08210,0.91790
rajat14.mtx,180,1503,real,general,0.04640,0.95360
fs_183_6.mtx,183,1069,real,general,0.03190,0.96810
fs_183_1.mtx,183,1069,real,general,0.03190,0.96810
fs_183_3.mtx,183,1069,real,general,0.03190,0.96810
fs_183_4.mtx,183,1069,real,general,0.03190,0.96810
gre_185.mtx,185,1005,real,general,0.02940,0.97060
jazz.mtx,198,2742,integer,symmetric,0.06990,0.93010
Trefethen_200b.mtx,199,1536,integer,symmetric,0.03880,0.96120
Trefethen_200.mtx,200,1545,integer,symmetric,0.03860,0.96140
rdb200l.mtx,200,1120,real,general,0.02800,0.97200
rdb200.mtx,200,1120,real,general,0.02800,0.97200
bwm200.mtx,200,796,real,general,0.01990,0.98010
impcol_a.mtx,207,572,real,general,0.01330,0.98670
ex1.mtx,216,4352,real,general,0.09330,0.90670
gre_216a.mtx,216,876,real,general,0.01880,0.98120
gre_216b.mtx,216,876,real,general,0.01880,0.98120
impcol_e.mtx,225,1308,real,general,0.02580,0.97420
pde225.mtx,225,1065,real,general,0.02100,0.97900
nos1.mtx,237,627,integer,symmetric,0.01120,0.98880
saylr1.mtx,238,1128,real,general,0.01990,0.98010
steam1.mtx,240,3762,real,general,0.06530,0.93470
Chebyshev1.mtx,261,2319,real,general,0.03400,0.96600
nnc261.mtx,261,1500,real,general,0.02200,0.97800
mesh3e1.mtx,289,1089,real,symmetric,0.01300,0.98700
mesh3em5.mtx,289,1089,real,symmetric,0.01300,0.98700
celegansneural.mtx,297,2345,integer,general,0.02660,0.97340
Trefethen_300.mtx,300,2489,integer,symmetric,0.02770,0.97230
08blocks.mtx,300,592,integer,general,0.00660,0.99340
utm300.mtx,300,3155,real,general,0.03510,0.96490
rajat05.mtx,301,1384,real,general,0.01530,0.98470
mesh2e1.mtx,306,1162,real,symmetric,0.01240,0.98760
mesh2em5.mtx,306,1162,real,symmetric,0.01240,0.98760
cz308.mtx,308,3182,real,general,0.03350,0.96650
GD01_a.mtx,311,645,integer,general,0.00670,0.99330
cavity04.mtx,317,7327,real,general,0.07290,0.92710
cavity03.mtx,317,7327,real,general,0.07290,0.92710
cavity02.mtx,317,7327,real,general,0.07290,0.92710
cavity01.mtx,317,7327,real,general,0.07290,0.92710
USAir97.mtx,332,2126,real,symmetric,0.01930,0.98070
cage7.mtx,340,3084,real,general,0.02670,0.97330
tols340.mtx,340,2196,real,general,0.01900,0.98100
gre_343.mtx,343,1435,real,general,0.01220,0.98780
plat362.mtx,362,3074,real,symmetric,0.02350,0.97650
plskz362.mtx,362,880,real,skew-symmetric,0.00670,0.99330
str_600.mtx,363,3279,real,general,0.02490,0.97510
str_400.mtx,363,3157,real,general,0.02400,0.97600
str_200.mtx,363,3068,real,general,0.02330,0.97670
str_0.mtx,363,2454,real,general,0.01860,0.98140
CAG_mat364.mtx,364,13585,integer,general,0.10250,0.89750
poisson2D.mtx,367,2417,real,general,0.01790,0.98210
west0381.mtx,381,2157,real,general,0.01490,0.98510
SmallW.mtx,396,994,integer,general,0.00630,0.99370
bfwa398.mtx,398,3678,real,general,0.02320,0.97680
bfwb398.mtx,398,1654,real,symmetric,0.01040,0.98960
ck400.mtx,400,2860,real,general,0.01790,0.98210
odepa400.mtx,400,1201,real,general,0.00750,0.99250
odepb400.mtx,400,399,real,symmetric,0.00250,0.99750
problem1.mtx,415,2779,real,general,0.01610,0.98390
mhda416.mtx,416,8562,real,general,0.04950,0.95050
mhdb416.mtx,416,1364,real,symmetric,0.00790,0.99210
bcsstk07.mtx,420,4140,real,symmetric,0.02350,0.97650
bcsstk06.mtx,420,4140,real,symmetric,0.02350,0.97650
bcsstm07.mtx,420,3836,real,symmetric,0.02170,0.97830
bcsstm06.mtx,420,420,real,symmetric,0.00240,0.99760
impcol_d.mtx,425,1339,real,general,0.00740,0.99260
oscil_trans_01.mtx,430,1614,real,general,0.00870,0.99130
oscil_dcop_45.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_02.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_31.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_12.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_28.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_30.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_09.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_47.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_35.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_37.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_50.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_53.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_38.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_07.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_44.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_29.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_11.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_23.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_42.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_16.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_06.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_10.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_43.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_41.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_25.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_24.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_34.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_48.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_40.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_20.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_32.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_26.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_55.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_19.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_22.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_36.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_08.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_17.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_05.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_04.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_51.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_54.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_14.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_33.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_21.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_56.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_27.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_46.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_57.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_15.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_01.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_18.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_13.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_49.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_39.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_03.mtx,430,1544,real,general,0.00840,0.99160
oscil_dcop_52.mtx,430,1544,real,general,0.00840,0.99160
hor_131.mtx,434,4710,real,general,0.02500,0.97500
ex2.mtx,441,13640,real,symmetric,0.07010,0.92990
rdb450l.mtx,450,2580,real,general,0.01270,0.98730
rdb450.mtx,450,2580,real,general,0.01270,0.98730
GD97_c.mtx,452,460,integer,general,0.00230,0.99770
celegans_metabolic.mtx,453,2040,integer,symmetric,0.00990,0.99010
nos5.mtx,468,2820,real,symmetric,0.01290,0.98710
west0479.mtx,479,1910,real,general,0.00830,0.99170
rbsb480.mtx,480,17088,integer,general,0.07420,0.92580
rbsa480.mtx,480,17088,integer,general,0.07420,0.92580
bcsstk20.mtx,485,1810,real,symmetric,0.00770,0.99230
bcsstm20.mtx,485,485,real,symmetric,0.00210,0.99790
494_bus.mtx,494,1080,real,symmetric,0.00440,0.99560
mbeaflw.mtx,496,49920,real,general,0.20290,0.79710
mbeacxc.mtx,496,49920,real,general,0.20290,0.79710
mbeause.mtx,496,41063,real,general,0.16690,0.83310
rw496.mtx,496,1859,real,general,0.00760,0.99240
west0497.mtx,497,1727,real,general,0.00700,0.99300
Trefethen_500.mtx,500,4489,integer,symmetric,0.01800,0.98200
tomography.mtx,500,28726,real,general,0.11490,0.88510
olm500.mtx,500,1996,real,general,0.00800,0.99200
lns_511.mtx,511,2796,real,general,0.01070,0.98930
lnsp_511.mtx,511,2796,real,general,0.01070,0.98930
dw256B.mtx,512,2500,real,general,0.00950,0.99050
dwb512.mtx,512,2500,real,general,0.00950,0.99050
dw256A.mtx,512,2480,real,general,0.00950,0.99050
dwa512.mtx,512,2480,real,general,0.00950,0.99050
gre_512.mtx,512,2192,real,general,0.00840,0.99160
M10PI_n1.mtx,528,1317,real,general,0.00470,0.99530
S10PI_n1.mtx,528,1317,real,general,0.00470,0.99530
S10PI_n1_E.mtx,528,528,real,symmetric,0.00190,0.99810
M10PI_n1_E.mtx,528,528,real,symmetric,0.00190,0.99810
pores_3.mtx,532,3474,real,general,0.01230,0.98770
fs_541_2.mtx,541,4285,real,general,0.01460,0.98540
fs_541_1.mtx,541,4285,real,general,0.01460,0.98540
fs_541_3.mtx,541,4285,real,general,0.01460,0.98540
fs_541_4.mtx,541,4285,real,general,0.01460,0.98540
bcsstm34.mtx,588,12429,real,symmetric,0.03590,0.96410
bcsstk34.mtx,588,11003,real,symmetric,0.03180,0.96820
ch5-5-b3.mtx,600,2400,integer,general,0.00670,0.99330
steam2.mtx,600,13760,real,general,0.03820,0.96180
cz628.mtx,628,6346,real,general,0.01610,0.98390
GD00_c.mtx,638,1041,integer,general,0.00260,0.99740
west0655.mtx,655,2854,real,general,0.00670,0.99330
ex21.mtx,656,19144,real,general,0.04450,0.95550
ck656.mtx,656,3884,real,general,0.00900,0.99100
662_bus.mtx,662,1568,real,symmetric,0.00360,0.99640
shl_200.mtx,663,1726,integer,general,0.00390,0.99610
shl_400.mtx,663,1712,integer,general,0.00390,0.99610
shl_0.mtx,663,1687,integer,general,0.00380,0.99620
nnc666.mtx,666,4044,real,general,0.00910,0.99090
nos6.mtx,675,1965,real,symmetric,0.00430,0.99570
fs_680_1.mtx,680,2646,real,general,0.00570,0.99430
fs_680_2.mtx,680,2646,real,general,0.00570,0.99430
fs_680_3.mtx,680,2646,real,general,0.00570,0.99430
M10PI_n.mtx,682,1633,real,general,0.00350,0.99650
S10PI_n.mtx,682,1633,real,general,0.00350,0.99650
S10PI_n_E.mtx,682,563,real,symmetric,0.00120,0.99880
M10PI_n_E.mtx,682,563,real,symmetric,0.00120,0.99880
685_bus.mtx,685,1967,real,symmetric,0.00420,0.99580
Trefethen_700.mtx,700,6677,integer,symmetric,0.01360,0.98640
msc00726.mtx,726,17622,real,symmetric,0.03340,0.96660
nos7.mtx,729,2673,real,symmetric,0.00500,0.99500
fs_760_1.mtx,760,5976,real,general,0.01030,0.98970
fs_760_3.mtx,760,5976,real,general,0.01030,0.98970
fs_760_2.mtx,760,5976,real,general,0.01030,0.98970
mcfe.mtx,765,24382,real,general,0.04170,0.95830
qh768.mtx,768,2934,real,general,0.00500,0.99500
Si2.mtx,769,9285,real,symmetric,0.01570,0.98430
bfwa782.mtx,782,7514,real,general,0.01230,0.98770
bfwb782.mtx,782,3382,real,symmetric,0.00550,0.99450
rotor2.mtx,791,10685,real,general,0.01710,0.98290
G9.mtx,800,19176,integer,symmetric,0.03000,0.97000
G8.mtx,800,19176,integer,symmetric,0.03000,0.97000
G6.mtx,800,19176,integer,symmetric,0.03000,0.97000
G10.mtx,800,19176,integer,symmetric,0.03000,0.97000
G7.mtx,800,19176,integer,symmetric,0.03000,0.97000
G18.mtx,800,4694,integer,symmetric,0.00730,0.99270
G20.mtx,800,4672,integer,symmetric,0.00730,0.99270
G21.mtx,800,4667,integer,symmetric,0.00730,0.99270
G19.mtx,800,4661,integer,symmetric,0.00730,0.99270
G13.mtx,800,1600,integer,symmetric,0.00250,0.99750
G11.mtx,800,1600,integer,symmetric,0.00250,0.99750
G12.mtx,800,1600,integer,symmetric,0.00250,0.99750
rdb800l.mtx,800,4640,real,general,0.00730,0.99280
bcsstk19.mtx,817,3835,real,symmetric,0.00570,0.99430
bcsstm19.mtx,817,817,real,symmetric,0.00120,0.99880
bp_1600.mtx,822,4841,real,general,0.00720,0.99280
bp_1400.mtx,822,4790,real,general,0.00710,0.99290
bp_1200.mtx,822,4726,real,general,0.00700,0.99300
bp_1000.mtx,822,4661,real,general,0.00690,0.99310
bp_800.mtx,822,4534,real,general,0.00670,0.99330
bp_600.mtx,822,4172,real,general,0.00620,0.99380
bp_400.mtx,822,4028,real,general,0.00600,0.99400
bp_200.mtx,822,3802,real,general,0.00560,0.99440
bp_0.mtx,822,3276,real,general,0.00480,0.99520
ex22.mtx,839,22715,real,general,0.03230,0.96770
young3c.mtx,841,3988,real,general,0.00560,0.99440
ex25.mtx,848,24612,real,general,0.03420,0.96580
qh882.mtx,882,3354,real,general,0.00430,0.99570
orsirr_2.mtx,886,5970,real,general,0.00760,0.99240
gr_30_30.mtx,900,4322,integer,symmetric,0.00530,0.99470
pde900.mtx,900,4380,real,general,0.00540,0.99460
DK01R.mtx,903,11766,real,general,0.01440,0.98560
GD01_Acap.mtx,953,645,integer,general,0.00070,0.99930
nos2.mtx,957,2547,real,symmetric,0.00280,0.99720
nos3.mtx,960,8402,real,symmetric,0.00910,0.99090
cdde3.mtx,961,4681,real,general,0.00510,0.99490
cdde6.mtx,961,4681,real,general,0.00510,0.99490
cdde1.mtx,961,4681,real,general,0.00510,0.99490
cdde2.mtx,961,4681,real,general,0.00510,0.99490
cdde5.mtx,961,4681,real,general,0.00510,0.99490
cdde4.mtx,961,4681,real,general,0.00510,0.99490
rdb968.mtx,968,5632,real,general,0.00600,0.99400
ex27.mtx,974,40782,real,general,0.04300,0.95700
west0989.mtx,989,3537,real,general,0.00360,0.99640
jpwh_991.mtx,991,6027,integer,general,0.00610,0.99390
olm1000.mtx,1000,3996,real,general,0.00400,0.99600
tub1000.mtx,1000,3996,real,general,0.00400,0.99600
sherman1.mtx,1000,2375,real,symmetric,0.00240,0.99760
saylr3.mtx,1000,2375,real,symmetric,0.00240,0.99760
cage8.mtx,1015,11003,real,general,0.01070,0.98930
circuit204.mtx,1020,5883,real,general,0.00570,0.99430
S20PI_n1.mtx,1028,2547,real,general,0.00240,0.99760
M20PI_n1.mtx,1028,2547,real,general,0.00240,0.99760
S20PI_n1_E.mtx,1028,1028,real,symmetric,0.00100,0.99900
M20PI_n1_E.mtx,1028,1028,real,symmetric,0.00100,0.99900
orsirr_1.mtx,1030,6858,real,general,0.00650,0.99350
rajat04.mtx,1041,9642,real,general,0.00890,0.99110
radfr1.mtx,1048,13299,real,general,0.01210,0.98790
msc01050.mtx,1050,15103,real,symmetric,0.01370,0.98630
SmaGri.mtx,1059,4919,integer,general,0.00440,0.99560
bcsstk08.mtx,1074,7017,real,symmetric,0.00610,0.99390
bcsstm08.mtx,1074,1074,real,symmetric,0.00090,0.99910
sherman2.mtx,1080,23094,real,general,0.01980,0.98020
bcsstk09.mtx,1083,9760,real,symmetric,0.00830,0.99170
bcsstm09.mtx,1083,1083,real,symmetric,0.00090,0.99910
bcsstm10.mtx,1086,11589,real,symmetric,0.00980,0.99020
bcsstk10.mtx,1086,11578,real,symmetric,0.00980,0.99020
b_dyn.mtx,1089,4264,real,general,0.00360,0.99640
b2_ss.mtx,1089,4228,real,general,0.00360,0.99640
tols1090.mtx,1090,3546,real,general,0.00300,0.99700
GD96_a.mtx,1096,1677,integer,general,0.00140,0.99860
sherman4.mtx,1104,3786,real,general,0.00310,0.99690
gre_1107.mtx,1107,5664,real,general,0.00460,0.99540
1138_bus.mtx,1138,2596,real,symmetric,0.00200,0.99800
rajat19.mtx,1157,5399,real,general,0.00400,0.99600
ex32.mtx,1159,6251,real,symmetric,0.00470,0.99530
cavity07.mtx,1182,32747,real,general,0.02340,0.97660
cavity09.mtx,1182,32747,real,general,0.02340,0.97660
cavity06.mtx,1182,32747,real,general,0.02340,0.97660
cavity08.mtx,1182,32747,real,general,0.02340,0.97660
cavity05.mtx,1182,32747,real,general,0.02340,0.97660
M20PI_n.mtx,1182,2881,real,general,0.00210,0.99790
S20PI_n.mtx,1182,2881,real,general,0.00210,0.99790
S20PI_n_E.mtx,1182,1063,real,symmetric,0.00080,0.99920
M20PI_n_E.mtx,1182,1063,real,symmetric,0.00080,0.99920
fpga_trans_02.mtx,1220,7382,real,general,0.00500,0.99500
fpga_trans_01.mtx,1220,7382,real,general,0.00500,0.99500
fpga_dcop_21.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_02.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_29.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_32.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_36.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_03.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_19.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_12.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_44.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_39.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_48.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_28.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_33.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_37.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_46.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_43.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_23.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_18.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_51.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_50.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_13.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_45.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_49.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_01.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_24.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_31.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_35.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_40.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_22.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_26.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_30.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_47.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_15.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_41.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_11.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_38.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_20.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_34.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_14.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_16.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_17.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_27.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_42.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_25.mtx,1220,5892,real,general,0.00400,0.99600
fpga_dcop_08.mtx,1220,5888,real,general,0.00400,0.99600
fpga_dcop_09.mtx,1220,5888,real,general,0.00400,0.99600
fpga_dcop_04.mtx,1220,5884,real,general,0.00400,0.99600
fpga_dcop_10.mtx,1220,5884,real,general,0.00400,0.99600
fpga_dcop_06.mtx,1220,5860,real,general,0.00390,0.99610
fpga_dcop_07.mtx,1220,5855,real,general,0.00390,0.99610
fpga_dcop_05.mtx,1220,5852,real,general,0.00390,0.99610
bcsstm27.mtx,1224,28675,real,symmetric,0.01910,0.98090
bcsstk27.mtx,1224,28675,real,symmetric,0.01910,0.98090
pores_2.mtx,1224,9613,real,general,0.00640,0.99360
rdb1250l.mtx,1250,7300,real,general,0.00470,0.99530
rdb1250.mtx,1250,7300,real,general,0.00470,0.99530
mahindas.mtx,1258,7682,real,general,0.00490,0.99510
cz1268.mtx,1268,12786,real,general,0.00800,0.99200
plbuckle.mtx,1282,15963,real,symmetric,0.00970,0.99030
plbuckle_G.mtx,1282,7242,real,symmetric,0.00440,0.99560
coater1.mtx,1348,19457,real,general,0.01070,0.98930
rail_1357_E.mtx,1357,5177,real,symmetric,0.00280,0.99720
rail_1357.mtx,1357,5171,real,symmetric,0.00280,0.99720
nnc1374.mtx,1374,8606,real,general,0.00460,0.99540
ex23.mtx,1409,43703,real,general,0.02200,0.97800
spiral_E.mtx,1434,1137732,real,general,0.55330,0.44670
spiral.mtx,1434,9831,real,symmetric,0.00480,0.99520
msc01440.mtx,1440,23855,real,symmetric,0.01150,0.98850
bcsstk11.mtx,1473,17857,real,symmetric,0.00820,0.99180
bcsstk12.mtx,1473,17857,real,symmetric,0.00820,0.99180
bcsstm12.mtx,1473,10566,real,symmetric,0.00490,0.99510
bcsstm11.mtx,1473,1473,real,symmetric,0.00070,0.99930
lhr01.mtx,1477,18592,real,general,0.00850,0.99150
qh1484.mtx,1484,6110,real,general,0.00280,0.99720
polblogs.mtx,1490,19025,integer,general,0.00860,0.99140
comsol.mtx,1500,97645,real,general,0.04340,0.95660
west1505.mtx,1505,5445,real,general,0.00240,0.99760
netscience.mtx,1589,2742,real,symmetric,0.00110,0.99890
ex4.mtx,1601,16950,real,symmetric,0.00660,0.99340
ex7.mtx,1633,54543,real,general,0.02050,0.97950
lung1.mtx,1650,7419,real,general,0.00270,0.99730
ex6.mtx,1651,49533,real,general,0.01820,0.98180
filter2D.mtx,1668,6209,real,symmetric,0.00220,0.99780
filter2D_E.mtx,1668,1668,real,symmetric,0.00060,0.99940
utm1700b.mtx,1700,21509,real,general,0.00740,0.99260
ex33.mtx,1733,11961,real,symmetric,0.00400,0.99600
epb0.mtx,1794,7764,real,general,0.00240,0.99760
bcsstk14.mtx,1806,32630,real,symmetric,0.01000,0.99000
adder_dcop_66.mtx,1813,11246,real,general,0.00340,0.99660
adder_dcop_35.mtx,1813,11246,real,general,0.00340,0.99660
adder_dcop_02.mtx,1813,11246,real,general,0.00340,0.99660
adder_dcop_20.mtx,1813,11246,real,general,0.00340,0.99660
adder_dcop_23.mtx,1813,11246,real,general,0.00340,0.99660
adder_dcop_42.mtx,1813,11246,real,general,0.00340,0.99660
